yahoo.com,74.6.143.25
facebook.com,57.144.220.1
youtube.com,142.251.218.238
wikipedia.org,198.35.26.224
blogspot.com,142.251.219.41
microsoft.com,150.171.109.145
taobao.com,59.82.121.163
tudou.com,106.11.43.71
bing.com,150.171.27.10
live.com,204.79.197.212
apple.com,17.253.144.10
msn.com,204.79.197.219
baidu.com,110.242.74.102
windows.com,20.236.44.162
wordpress.com,192.0.78.9
qq.com,203.205.254.157
amazon.com,98.82.161.185
adobe.com,23.212.62.92
sina.com.cn,36.51.254.91
soso.com,43.153.236.147
yahoo.co.jp,183.79.219.124
sohu.com,61.135.164.50
youku.com,106.11.43.107
xunlei.com,112.124.227.84
56.com,219.136.249.83
hao123.com,110.242.69.86
tmall.com,59.82.133.135
163.com,59.111.160.244
twitter.com,172.66.0.227
ask.com,151.101.202.114
ebay.com,23.67.33.5
mozilla.com,35.190.14.201
andysayler.com,159.89.253.85
about.com,172.66.1.220
pps.tv,110.242.75.40
fc2.com,199.48.210.151
orkut.com.br,208.109.60.213
rakuten.co.jp,133.237.182.225
ku6.com,106.75.9.182
wmfo.org,23.92.21.128
sogou.com,43.153.236.147
paypal.com,162.159.141.96
sdjjdsaf.com,
