facebook.com,57.144.220.1
youtube.com,172.217.12.110
yahoo.com,98.137.11.164
live.com,204.79.197.212
wikipedia.org,198.35.26.224
msn.com,204.79.197.219
baidu.com,111.63.65.247
blogspot.com,142.251.218.201
microsoft.com,13.107.213.69
qq.com,203.205.254.157
taobao.com,59.82.121.163
bing.com,150.171.28.10
sina.com.cn,36.51.254.91
soso.com,43.153.249.87
163.com,59.111.160.244
ask.com,151.101.42.114
adobe.com,23.212.62.72
twitter.com,162.159.140.229
mozilla.com,35.190.14.201
youku.com,106.11.40.57
sdjjdsaf.com,
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
amazon.com,98.82.161.185
wordpress.com,192.0.78.17
tudou.com,106.11.43.215
yahoo.co.jp,183.79.219.252
sohu.com,109.244.23.96
apple.com,17.253.144.10
hao123.com,39.156.68.154
windows.com,20.112.250.133
ebay.com,23.67.33.44
pps.tv,111.206.13.61
xunlei.com,39.104.99.104
56.com,219.136.249.83
fc2.com,199.48.210.151
paypal.com,162.159.141.96
sogou.com,43.153.236.147
tmall.com,59.82.43.82
ku6.com,106.75.9.182
rakuten.co.jp,133.237.182.225
about.com,172.66.1.220
orkut.com.br,208.109.60.213
ifeng.com,82.156.59.186
goo.ne.jp,52.197.38.248
bbc.co.uk,151.101.192.81
yandex.ru,77.88.55.88
myspace.com,34.111.176.156
mail.ru,89.221.239.1
cnet.com,199.232.194.154
go.com,13.248.150.189
4399.com,129.211.129.109
orkut.com,216.239.34.21
skype.com,20.112.250.133
ameblo.jp,199.232.210.133
naver.com,223.130.200.236
flickr.com,65.8.180.78
4shared.com,204.155.149.42
amazon.co.jp,18.246.99.104
linkedin.com,150.171.22.12
dailymotion.com,195.8.215.136
imdb.com,98.82.158.179
aol.com,13.248.158.7
hotmail.com,204.79.197.212
360.cn,36.99.171.154
craigslist.org,208.82.237.129
weather.com,104.68.104.244
soku.com,106.11.47.20
alibaba.com,47.246.136.156
renren.com,119.188.211.99
livedoor.jp,147.92.240.79
blogger.com,142.251.214.41
vkontakte.ru,87.240.132.78
answers.com,151.101.192.203
rapidshare.com,0.0.0.0
daum.net,211.249.220.24
7k7k.com,106.75.33.163
2345.com,103.255.201.148
photobucket.com,18.244.214.33
mediafire.com,104.17.148.83
ehow.com,172.67.134.118
seesaa.net,138.2.21.1
paipai.com,36.110.181.228
alipay.com,110.76.8.255
softonic.com,151.101.65.91
nifty.com,76.223.106.131
imageshack.us,208.94.3.19
cnn.com,151.101.131.5
tianya.cn,
mywebsearch.com,151.101.42.114
zynga.com,13.32.230.53
partypoker.com,195.72.135.91
hp.com,54.192.100.102
walmart.com,23.40.24.176
kugou.com,49.7.106.144
ebay.de,23.67.33.5
youdao.com,220.197.31.37
hotfile.com,18.207.9.28
qiyi.com,202.108.14.124
pconline.com.cn,120.25.87.159
odnoklassniki.ru,217.20.155.13
jp.msn.com,
